City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,71.87,light rain,-23.1203,-134.9692,People ThankYou
3,Faanui,PF,79.14,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Mount Gambier,AU,65.88,clear sky,-37.8333,140.7667,The Commodore
5,Harper,LR,78.06,few clouds,4.375,-7.7169,Screensaver
7,Ixtapa,MX,78.22,clear sky,20.7,-105.2,hotel la terminal
14,Cabo San Lucas,MX,78.1,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Vangaindrano,MG,72.5,light rain,-23.35,47.6,Hotel Fanilo
20,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
25,Huilong,CN,61.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
27,Hobart,AU,65.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
28,Hualmay,PE,65.32,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
31,Guerrero Negro,MX,71.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
36,Gat,IL,61.39,clear sky,31.61,34.7642,OlusHome
39,Bambous Virieux,MU,68.22,few clouds,-20.3428,57.7575,Casa Tia Villa
44,Lompoc,US,71.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
47,Namibe,AO,68.99,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
48,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
49,Meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
51,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
52,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
53,Bunia,CD,63.55,light rain,1.5667,30.25,Gold Star International Hotel
54,Cape Town,ZA,60.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
60,Cessnock,AU,67.91,clear sky,-32.8333,151.35,Hunter Valley Motel
61,Tomohon,ID,76.14,overcast clouds,1.3346,124.8392,Gardenia Country Inn
62,Laguna,US,66.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
64,Naze,JP,68.92,broken clouds,28.3667,129.4833,Shishime Hotel
65,Caxito,AO,74.07,broken clouds,-8.5785,13.6643,
66,Diebougou,BF,72.93,clear sky,10.9667,-3.25,Famille Isola (Alhadj Ismaïl )
67,Mahebourg,MU,68.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Lagoa,PT,60.55,few clouds,39.05,-27.9833,Casa Das Faias
73,Labuhan,ID,78.3,overcast clouds,-6.8844,112.2051,DoubleFAG
74,Iralaya,HN,79.25,moderate rain,15.0,-83.2333,Iglesia morava renovada
78,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Flinders,AU,67.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
80,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Bocaiuva,BR,76.71,few clouds,-17.1078,-43.815,Hotel Maxim's
84,Caravelas,BR,72.39,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
85,Jijiang,CN,62.49,overcast clouds,29.2906,106.2542,Chongqing Jiangjin Hotel
87,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
89,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
90,San Quintin,MX,65.32,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
92,Berbera,SO,77.74,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
93,Bindura,ZW,68.68,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
96,Arraial Do Cabo,BR,71.74,clear sky,-22.9661,-42.0278,Pousada Porto Praia
97,Cuamba,MZ,74.35,scattered clouds,-14.8031,36.5372,Hotel Vision
98,Buraydah,SA,66.65,overcast clouds,26.326,43.975,Mövenpick Qassim
100,Port Elizabeth,ZA,63.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
101,Pak Phanang,TH,78.82,overcast clouds,8.3511,100.202,Green Park Inn Hotel
103,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
104,Cap Malheureux,MU,68.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
105,Masakin,TN,69.26,few clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
109,Airai,TL,71.76,broken clouds,-8.9266,125.4092,
110,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
111,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
113,Souillac,MU,61.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
114,Antequera,ES,62.76,overcast clouds,37.0194,-4.5612,Convento de la Magdalena
118,Sarankhola,BD,62.46,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
120,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
124,Hoi An,VN,78.76,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
127,Takapau,NZ,69.73,broken clouds,-40.0333,176.35,
135,Richards Bay,ZA,71.64,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
136,Sao Filipe,CV,78.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
137,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
138,Carnarvon,AU,65.44,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
141,Ballina,AU,70.79,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
144,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
147,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
150,Aripuana,BR,73.99,overcast clouds,-9.1667,-60.6333,
