City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,71.87,86,100,9.01,light rain
1,Namatanai,PG,-3.6667,152.4333,84.45,62,92,7.4,overcast clouds
2,Pevek,RU,69.7008,170.3133,-7.91,100,98,3.96,overcast clouds
3,Faanui,PF,-16.4833,-151.75,79.14,75,55,4.03,moderate rain
4,Mount Gambier,AU,-37.8333,140.7667,65.88,50,3,8.5,clear sky
5,Harper,LR,4.375,-7.7169,78.06,83,15,6.58,few clouds
6,Saskylakh,RU,71.9167,114.0833,-34.42,100,84,2.55,broken clouds
7,Ixtapa,MX,20.7,-105.2,78.22,73,0,9.22,clear sky
8,Lebu,CL,-37.6167,-73.65,58.14,91,100,9.15,light rain
9,Ciudad Bolivar,VE,8.1222,-63.5497,80.35,75,100,9.8,overcast clouds
10,Castro,BR,-24.7911,-50.0119,55.83,64,1,6.35,clear sky
11,Kavieng,PG,-2.5744,150.7967,84.24,66,100,11.36,overcast clouds
12,Kirakira,SB,-10.4544,161.9205,81.23,81,99,7.78,light rain
13,Vaini,TO,-21.2,-175.2,82.56,74,20,13.8,few clouds
14,Cabo San Lucas,MX,22.8909,-109.9124,78.1,64,20,10.36,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,27.63,few clouds
16,Vangaindrano,MG,-23.35,47.6,72.5,93,90,5.41,light rain
17,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,74,75,11.5,broken clouds
18,Merauke,ID,-8.4667,140.3333,81.03,84,100,7.27,overcast clouds
19,Jamestown,US,42.097,-79.2353,31.01,78,100,9.22,mist
20,Vila Do Maio,CV,15.1333,-23.2167,77.79,78,86,8.75,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,58.48,68,100,2.42,overcast clouds
22,Busselton,AU,-33.65,115.3333,53.24,74,100,20.98,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,56.8,63,100,4.32,overcast clouds
24,Palmer,US,42.1584,-72.3287,38.86,57,40,12.66,scattered clouds
25,Huilong,CN,31.8111,121.655,61.93,82,95,12.06,overcast clouds
26,Nanortalik,GL,60.1432,-45.2371,21.67,77,88,7.94,overcast clouds
27,Hobart,AU,-42.8794,147.3294,65.05,62,40,5.75,scattered clouds
28,Hualmay,PE,-11.0964,-77.6139,65.32,81,65,9.37,broken clouds
29,Ketchikan,US,55.3422,-131.6461,45.07,57,0,0.0,clear sky
30,Key West,US,24.5557,-81.7826,80.6,80,100,10.36,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,71.1,34,0,11.21,clear sky
32,Butaritari,KI,3.0707,172.7902,80.64,76,65,14.07,broken clouds
33,Saldanha,ZA,-33.0117,17.9442,55.45,70,100,16.35,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,51.46,46,40,13.8,scattered clouds
35,Albany,US,42.6001,-73.9662,35.46,59,40,1.99,scattered clouds
36,Gat,IL,31.61,34.7642,61.39,65,4,6.49,clear sky
37,Sisimiut,GL,66.9395,-53.6735,21.83,88,100,17.05,overcast clouds
38,Ribeira Grande,PT,38.5167,-28.7,58.77,67,15,7.0,few clouds
39,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,few clouds
40,Bluff,NZ,-46.6,168.3333,58.8,86,100,9.86,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,-16.98,74,3,7.72,clear sky
42,Cerrito,CO,6.8432,-72.694,54.95,95,99,2.91,overcast clouds
43,Liberal,US,37.0431,-100.921,32.14,74,75,24.16,broken clouds
44,Lompoc,US,34.6391,-120.4579,71.74,45,0,13.8,clear sky
45,Abu Samrah,SY,35.3029,37.1841,56.7,83,10,7.34,clear sky
