City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-11-16 21:58:50,57.79,-152.4072,42.31,100,100,17.27
1,Naze,JP,2022-11-16 21:58:50,28.3667,129.4833,68.92,67,100,13.89
2,Kavaratti,IN,2022-11-16 21:58:50,10.5669,72.642,80.42,74,12,1.34
3,Salalah,OM,2022-11-16 21:58:51,17.0151,54.0924,74.41,72,6,3.13
4,Kapaa,US,2022-11-16 21:58:51,22.0752,-159.319,79.2,63,97,7.0
5,Khatanga,RU,2022-11-16 21:58:51,71.9667,102.5,-20.0,99,98,4.83
6,Chuy,UY,2022-11-16 21:58:51,-33.6971,-53.4616,66.09,69,4,6.04
7,Oneonta,US,2022-11-16 21:57:25,42.4529,-75.0638,39.29,97,100,10.38
8,Soligalich,RU,2022-11-16 21:58:52,59.0778,42.2864,26.71,95,100,3.56
9,Busselton,AU,2022-11-16 21:58:52,-33.65,115.3333,59.16,76,79,14.09
10,Lloydminster,CA,2022-11-16 21:55:42,53.2835,-110.0016,19.62,73,100,23.02
11,Qaanaaq,GL,2022-11-16 21:58:52,77.484,-69.3632,-2.31,98,100,3.11
12,Barrow,US,2022-11-16 21:58:52,71.2906,-156.7887,32.65,63,100,24.76
13,Deputatskiy,RU,2022-11-16 21:58:53,69.3,139.9,-27.47,100,96,1.99
14,Kaitangata,NZ,2022-11-16 21:58:53,-46.2817,169.8464,53.69,98,100,2.95
15,Hithadhoo,MV,2022-11-16 21:58:53,-0.6,73.0833,80.53,78,54,10.74
16,Chokurdakh,RU,2022-11-16 21:58:53,70.6333,147.9167,-22.4,99,97,4.05
17,Salina Cruz,MX,2022-11-16 21:58:54,16.1667,-95.2,86.67,54,50,23.87
18,Castro,BR,2022-11-16 21:58:54,-24.7911,-50.0119,62.26,64,1,4.03
19,Nemuro,JP,2022-11-16 21:58:54,43.3236,145.575,41.07,65,75,11.56
20,Mar Del Plata,AR,2022-11-16 21:58:54,-38.0023,-57.5575,71.62,78,40,6.91
21,Betamcherla,IN,2022-11-16 21:58:55,15.4667,78.1667,63.34,62,0,3.04
22,Geraldton,AU,2022-11-16 21:58:55,-28.7667,114.6,64.81,59,75,10.36
23,Hermanus,ZA,2022-11-16 21:58:55,-34.4187,19.2345,57.79,71,93,3.89
24,Rikitea,PF,2022-11-16 21:58:55,-23.1203,-134.9692,73.04,90,100,26.89
25,Ushuaia,AR,2022-11-16 21:57:44,-54.8,-68.3,56.86,38,40,8.05
26,Lebu,CL,2022-11-16 21:58:56,-37.6167,-73.65,61.7,81,6,9.89
27,Puerto Ayora,EC,2022-11-16 21:58:56,-0.7393,-90.3518,75.16,94,81,7.0
28,High Level,CA,2022-11-16 21:58:56,58.5169,-117.136,15.91,73,0,11.5
29,Yellowknife,CA,2022-11-16 21:57:54,62.456,-114.3525,1.92,71,20,11.5
30,Carnarvon,AU,2022-11-16 21:58:56,-24.8667,113.6333,66.96,64,100,15.93
31,Pestravka,RU,2022-11-16 21:58:57,52.405,49.9583,27.07,91,100,7.14
32,Butaritari,KI,2022-11-16 21:58:57,3.0707,172.7902,80.87,76,76,21.27
33,Domoni,KM,2022-11-16 21:58:57,-12.2569,44.5319,76.17,86,41,4.61
34,Dibulla,CO,2022-11-16 21:58:57,11.2725,-73.3091,81.43,86,100,8.9
35,San Patricio,US,2022-11-16 21:58:58,28.017,-97.5169,50.85,61,100,11.21
36,Vaini,TO,2022-11-16 21:58:58,-21.2,-175.2,80.76,78,20,4.61
37,Thompson,CA,2022-11-16 21:58:58,55.7435,-97.8558,19.56,93,100,5.75
38,Sobolevo,RU,2022-11-16 21:58:58,54.4299,31.8996,24.98,84,15,6.89
39,Maningrida,AU,2022-11-16 21:58:59,-12.0667,134.2667,82.42,71,98,2.77
40,Dhidhdhoo,MV,2022-11-16 21:58:59,6.8833,73.1,80.42,77,21,6.17
41,Cape Town,ZA,2022-11-16 21:58:59,-33.9258,18.4232,62.28,71,0,13.8
42,Punta Arenas,CL,2022-11-16 21:58:59,-53.15,-70.9167,57.31,38,75,18.41
43,Pitimbu,BR,2022-11-16 21:59:00,-7.4706,-34.8086,81.19,73,54,8.93
44,Saint-Ambroise,CA,2022-11-16 21:59:00,48.5501,-71.3324,25.57,86,100,6.91
45,Merauke,ID,2022-11-16 21:59:00,-8.4667,140.3333,81.46,82,100,4.52
46,Saldanha,ZA,2022-11-16 22:00:00,-33.0117,17.9442,57.25,75,64,17.98
47,Aklavik,CA,2022-11-16 22:00:01,68.2191,-135.0107,15.94,78,99,6.64
48,Iqaluit,CA,2022-11-16 22:00:01,63.7506,-68.5145,-3.53,99,81,11.65
49,Mahebourg,MU,2022-11-16 22:00:02,-20.4081,57.7,69.26,65,0,5.95
50,Ostrovnoy,RU,2022-11-16 22:00:03,68.0531,39.5131,30.97,84,93,5.44
51,Nikolskoye,RU,2022-11-16 22:00:03,59.7035,30.7861,31.91,88,100,5.39
52,Ugoofaaru,MV,2022-11-16 22:00:04,5.6667,73.0,79.79,80,61,7.99
53,Jumla,NP,2022-11-16 22:00:05,29.2747,82.1838,37.47,69,9,4.05
54,Sorland,NO,2022-11-16 22:00:06,67.667,12.6934,44.46,56,44,10.31
55,Port Elizabeth,ZA,2022-11-16 21:58:18,-33.918,25.5701,64.31,86,20,6.91
56,Alto Lucero,MX,2022-11-16 22:00:07,19.6167,-96.7167,69.42,75,77,4.34
57,Fairbanks,US,2022-11-16 22:00:08,64.8378,-147.7164,13.08,91,88,2.21
58,Albany,US,2022-11-16 21:59:51,42.6001,-73.9662,40.59,84,87,9.51
59,Codrington,AU,2022-11-16 22:00:10,-38.2667,141.9667,54.84,76,53,7.07
